OTU	ASVs
OTU148	ASV214, ASV2615, ASV11367
OTU149	ASV216, ASV526, ASV1804, ASV1869, ASV2574, ASV3220, ASV3233, ASV7361, ASV7825, ASV7856
OTU150	ASV218, ASV390, ASV540, ASV558, ASV575, ASV809, ASV815, ASV879, ASV1389, ASV1762, ASV2685, ASV2719, ASV2936, ASV2965, ASV3342, ASV3542, ASV4015, ASV5214, ASV5270, ASV5420, ASV5554, ASV6136, ASV6413, ASV9821, ASV9899, ASV10452, ASV10747
OTU151	ASV219, ASV338
OTU152	ASV221
OTU153	ASV223, ASV707, ASV806, ASV1094, ASV1227, ASV1387, ASV1744, ASV1879, ASV2550, ASV3525, ASV3759, ASV3881, ASV3988, ASV4298, ASV5487, ASV5706, ASV5770, ASV6294, ASV8851, ASV8997, ASV9840, ASV10248
OTU154	ASV224
OTU155	ASV225, ASV836, ASV3647, ASV7190
OTU156	ASV226, ASV401, ASV573, ASV657, ASV1173, ASV1229, ASV2312, ASV2558, ASV2860, ASV2964, ASV3092, ASV3420, ASV3643, ASV4092, ASV4358, ASV5323, ASV5635, ASV6033, ASV6615, ASV7203, ASV7252, ASV9110
OTU157	ASV227
OTU158	ASV228, ASV2880
OTU159	ASV230, ASV1368, ASV1965, ASV2721, ASV2920, ASV5334, ASV5354, ASV6440, ASV7239, ASV8043, ASV8403
OTU160	ASV232, ASV2327, ASV3614, ASV5572, ASV7181, ASV7216, ASV7439
OTU161	ASV234, ASV7721, ASV11542
OTU162	ASV235, ASV297
OTU163	ASV236, ASV9611, ASV10104, ASV11776
OTU164	ASV237, ASV3697, ASV4397, ASV5847, ASV10004, ASV10901
OTU165	ASV238, ASV353, ASV936, ASV2397, ASV2541, ASV2590, ASV2777, ASV2799, ASV2823, ASV2876, ASV3276, ASV3887, ASV4056, ASV4455, ASV5361, ASV5401, ASV5801, ASV6066, ASV8495, ASV10640, ASV11565
OTU166	ASV239, ASV6834
OTU167	ASV240, ASV306, ASV342, ASV348, ASV1579, ASV2724, ASV3466, ASV3854, ASV3943, ASV5120, ASV5902, ASV9541, ASV10268, ASV10746, ASV11028, ASV11231, ASV11622
OTU168	ASV241, ASV312, ASV677, ASV963, ASV3425, ASV5854, ASV10639
OTU169	ASV242
OTU170	ASV244, ASV1674, ASV2013, ASV2545, ASV2960, ASV3612, ASV4043, ASV5357, ASV7337
OTU171	ASV245, ASV291, ASV813, ASV2230
OTU172	ASV246
OTU173	ASV247, ASV1420, ASV2169, ASV2425, ASV7908, ASV8216, ASV10250
OTU174	ASV248, ASV1692
OTU175	ASV249, ASV732, ASV2770
OTU176	ASV250, ASV1289, ASV2547, ASV4778, ASV4969, ASV5440, ASV5868
OTU177	ASV251, ASV512, ASV826, ASV1197, ASV4443, ASV11467
OTU178	ASV252, ASV645, ASV2229
OTU179	ASV253, ASV403, ASV2034, ASV4923, ASV9959
OTU180	ASV78, ASV104, ASV258, ASV935, ASV1097, ASV1343, ASV2408, ASV2616, ASV3914, ASV4072, ASV4557, ASV5000, ASV5123, ASV5407, ASV5548, ASV6303, ASV6771, ASV9203, ASV10018, ASV10895, ASV10978
OTU181	ASV259, ASV1972, ASV2592, ASV3399, ASV4159, ASV6409, ASV7022, ASV8038, ASV8347, ASV9014, ASV9050, ASV9072, ASV9201, ASV10211, ASV11056, ASV11922
OTU182	ASV260, ASV971, ASV994, ASV1484, ASV2925, ASV3623, ASV3991, ASV5233, ASV5379, ASV6384, ASV10208, ASV10563, ASV11315, ASV11748
OTU183	ASV261, ASV9788
OTU184	ASV262, ASV591, ASV626, ASV9602
OTU185	ASV264, ASV2697, ASV3526, ASV3950, ASV9781
OTU186	ASV265, ASV1662, ASV3518, ASV5059, ASV5786, ASV6565, ASV8100, ASV9697, ASV10710, ASV11229, ASV11707
OTU187	ASV266, ASV2342, ASV2852, ASV3482
OTU188	ASV267
OTU189	ASV269, ASV1144, ASV1471, ASV9928
OTU190	ASV270, ASV366, ASV649, ASV1304, ASV4908, ASV12015
OTU191	ASV272, ASV521, ASV660, ASV915, ASV1817, ASV2830, ASV3081, ASV3135, ASV3515, ASV3750, ASV3900, ASV6103, ASV7688, ASV7933, ASV10773
OTU192	ASV274, ASV869, ASV2152, ASV3886, ASV3926, ASV6668, ASV10255
OTU193	ASV275
OTU194	ASV276, ASV1614
OTU195	ASV277
OTU196	ASV278, ASV574, ASV656, ASV1837, ASV1979, ASV4537
OTU197	ASV279, ASV551, ASV2757, ASV3026, ASV5003, ASV7962, ASV8034, ASV9970, ASV11722
OTU198	ASV282, ASV11080
OTU199	ASV283, ASV5787, ASV7720
OTU200	ASV285, ASV7061
OTU201	ASV289
OTU202	ASV293, ASV4553
OTU203	ASV294, ASV5752
OTU204	ASV295, ASV11864
OTU205	ASV296, ASV417, ASV424, ASV449, ASV727, ASV1328, ASV1394, ASV2591, ASV2665, ASV3180, ASV3839, ASV12027
OTU206	ASV298, ASV785, ASV2380, ASV3210, ASV4465
OTU207	ASV302, ASV4616, ASV5845, ASV7788, ASV8966, ASV10006
OTU208	ASV303, ASV6398, ASV8762
OTU209	ASV305, ASV765, ASV1247
OTU210	ASV307, ASV840, ASV9244
OTU211	ASV308, ASV11316
OTU212	ASV309, ASV4800, ASV7558
OTU213	ASV311, ASV5834, ASV6772
OTU214	ASV313, ASV437, ASV958, ASV1162, ASV4620
OTU215	ASV316, ASV735, ASV3543, ASV4145, ASV5428, ASV8009, ASV9487, ASV10590, ASV11220
OTU216	ASV318, ASV10729
OTU217	ASV319, ASV2153, ASV3598, ASV3862, ASV4300
OTU218	ASV321
OTU219	ASV323, ASV6025
OTU220	ASV325, ASV9825
OTU221	ASV326, ASV4731, ASV11683
OTU222	ASV327, ASV1028, ASV8358
OTU223	ASV328, ASV425, ASV471, ASV541, ASV847, ASV1392, ASV2054, ASV2050, ASV2206, ASV3841, ASV4667, ASV5044, ASV5273, ASV5431, ASV5994, ASV6097, ASV6182, ASV6197, ASV7300, ASV8841, ASV9471, ASV9719, ASV10132, ASV10376, ASV10525, ASV10692
OTU224	ASV329, ASV336, ASV1017, ASV5256
OTU225	ASV331, ASV3713, ASV10764
OTU226	ASV332, ASV747, ASV4370, ASV7094, ASV9283, ASV9861
OTU227	ASV333, ASV3490, ASV3591, ASV5412, ASV8888
OTU228	ASV334
OTU229	ASV339, ASV2455, ASV2536, ASV4253
OTU230	ASV340, ASV1200, ASV4766
OTU231	ASV343, ASV599, ASV710, ASV1316, ASV3362, ASV6502
OTU232	ASV346
OTU233	ASV347
OTU234	ASV349, ASV620, ASV927, ASV1218, ASV1849, ASV1911, ASV1916, ASV2027, ASV2073, ASV2391, ASV2943, ASV3054, ASV3722, ASV4189, ASV5355, ASV6077, ASV6851, ASV8105, ASV8134, ASV8372, ASV8663, ASV10072, ASV10806
OTU235	ASV350, ASV539, ASV843, ASV851, ASV990, ASV1101, ASV1670, ASV1930, ASV3184, ASV3510, ASV3640, ASV4101, ASV5409, ASV5549, ASV5553, ASV6976, ASV8104
OTU236	ASV351, ASV957, ASV4038, ASV7257, ASV10342, ASV11950
OTU237	ASV352, ASV553, ASV1571, ASV5678, ASV8245, ASV9988, ASV11933
OTU238	ASV354, ASV476, ASV902, ASV1313, ASV2162, ASV2715, ASV4513, ASV5319, ASV6350, ASV6747
OTU239	ASV355
OTU240	ASV356, ASV867, ASV908, ASV991, ASV1403, ASV2363, ASV2494, ASV2881, ASV3301, ASV3386, ASV5190, ASV5591, ASV6827, ASV8270, ASV9076, ASV9852, ASV10393, ASV11401
OTU241	ASV361, ASV865, ASV4792, ASV7950, ASV10832
OTU242	ASV362, ASV716, ASV1601, ASV1810, ASV1991, ASV2457, ASV2962, ASV5468, ASV5595, ASV5747, ASV5914, ASV6488, ASV6826, ASV7630
OTU243	ASV363, ASV584, ASV872, ASV1088, ASV2015, ASV2157, ASV2161, ASV2649, ASV3942, ASV4303, ASV4861, ASV5290, ASV5891, ASV6240, ASV6379, ASV6542, ASV6874, ASV7699, ASV8683, ASV10579
